OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
1,78002,9061,1063,11816.36283,78002,6,66.69630947,0.427542059,0.009546238
2,78006,5243,278,4851.657941,78006,3,52.35602094,0.55272516,0.005416492
4,78015,12254,664,5167.315175,78015,7,54.47470817,0.278955129,0.002312008
5,78023,29569,1947,6588.163638,78023,15,50.7562684,0.886454761,0.017921694
7,78052,699,39,5555.555556,78052,3,427.3504274,0.260085446,0.001146763
12,78069,2290,225,9723.422645,78069,0,0,0.254858728,0.002040969
13,78073,7312,920,12273.21238,78073,2,26.68089648,0.580797712,0.011684798
14,78101,4485,311,6999.774927,78101,1,22.50731488,0.543171951,0.006502197
15,78108,880,14,1421.319797,78108,1,101.5228426,0.304887307,0.000857617
16,78109,50260,4193,8162.510464,78109,48,93.44156982,0.737848687,0.007681901
17,78112,8791,945,10716.71581,78112,6,68.04264005,0.542672386,0.011407797
20,78124,614,9,1388.888889,78124,0,0,0.457998826,0.002457114
21,78148,20881,1583,7742.345691,78148,12,58.69118654,0.308430817,0.001467862
22,78150,294,9,3169.014085,78150,0,0,0.253047859,0.000889137
23,78152,2234,276,11066.55974,78152,1,40.09623095,0.495777478,0.007844508
24,78154,12029,493,3928.286853,78154,2,15.93625498,0.739526072,0.004309989
27,78201,45977,5058,11207.37409,78201,33,73.12047152,0.247548532,0.001720515
28,78202,12654,1254,9748.134328,78202,9,69.96268657,0.125396079,0.000595885
29,78203,5888,703,12245.25344,78203,6,104.5114092,0.09805268,0.00031766
30,78204,13172,1408,9867.545028,78204,7,49.05739715,0.158998399,0.000669551
31,78205,1633,160,9650.180941,78205,1,60.31363088,0.120517878,0.000239364
32,78207,58019,7172,12388.37165,78207,67,115.7307446,0.200003384,0.001818122
33,78208,5262,504,9155.313351,78208,1,18.16530427,0.102264617,0.000242633
34,78209,42456,2720,6539.090297,78209,12,28.84892778,0.2506019,0.00241631
35,78210,39242,4045,10622.93188,78210,43,112.9260991,0.261500777,0.001831173
36,78211,32211,4560,14332.86186,78211,25,78.5792865,0.318946413,0.00241266
37,78212,29916,2490,8523.310741,78212,25,85.57540905,0.204094906,0.001698983
38,78213,42065,4325,10502.16114,78213,26,63.1343791,0.238127833,0.001880856
39,78214,24155,3234,13604.81259,78214,16,67.30890581,0.393022289,0.003142416
40,78215,4445,284,5841.217606,78215,3,61.70300288,0.101510445,0.000252615
41,78216,37499,3427,9280.974949,78216,30,81.24576845,0.292918076,0.003392777
42,78217,32205,2629,8257.42823,78217,37,116.21333,0.297492486,0.002394803
43,78218,37306,3438,9360.196025,78218,21,57.17397223,0.282249032,0.002632771
44,78219,16333,1675,10462.21112,78219,21,131.16802,0.41252409,0.003455865
45,78220,17459,2033,11793.02744,78220,19,110.2152097,0.326720497,0.002620558
46,78221,40109,5426,13520.04585,78221,25,62.29287619,0.62274793,0.007990587
47,78222,22529,2755,12161.20773,78222,20,88.28462965,0.405847443,0.003968036
48,78223,55608,6706,12243.48207,78223,45,82.15876725,0.961477671,0.009945271
49,78224,20239,3357,16542.65017,78224,21,103.48396,0.4362202,0.003676469
50,78225,12982,1856,14507.93403,78225,18,140.7019464,0.099040602,0.000459708
51,78226,6269,1014,16644.78004,78226,3,49.24491136,0.219270267,0.000926277
52,78227,47269,5763,12201.73191,78227,55,116.4489424,0.401205101,0.003364672
53,78228,62538,7493,12150.5481,78228,64,103.7815399,0.245259022,0.002719354
54,78229,31602,2829,8890.914234,78229,27,84.85496087,0.182495933,0.001369011
55,78230,42740,3179,7538.355742,78230,29,68.76763653,0.24825369,0.002503687
56,78231,10967,554,5172.735761,78231,4,37.34827264,0.225308648,0.001094628
57,78232,37942,2363,6353.175243,78232,27,72.59235361,0.239645125,0.002875325
58,78233,48110,3856,8118.236557,78233,32,67.37125774,0.317882386,0.003316975
59,78234,7288,397,5622.433083,78234,3,42.48689987,0.227581834,0.001267701
60,78235,3182,198,6214.689266,78235,0,0,0.100441654,0.000513576
61,78236,11007,2939,27007.90296,78236,55,505.4217975,0.452838569,0.003259278
62,78237,36938,6213,16955.95219,78237,26,70.9568255,0.173880398,0.001668031
63,78238,26671,2658,9906.820723,78238,21,78.27059262,0.257059055,0.002244302
64,78239,32687,2588,8032.028801,78239,21,65.17488594,0.217431139,0.001619772
65,78240,55756,4302,7744.513853,78240,35,63.00743488,0.279515,0.002708853
66,78242,31814,4455,13628.85463,78242,52,159.0797846,0.195385628,0.001881517
67,78244,33128,3295,9609.776015,78244,42,122.4918339,0.310727524,0.001743976
68,78245,87105,9256,10126.47149,78245,93,101.7460943,0.511141486,0.008017727
69,78247,50358,3846,7768.127651,78247,37,74.7323773,0.338586399,0.003150433
70,78248,13934,876,6340.474812,78248,9,65.1418645,0.166139348,0.000964216
71,78249,57928,4686,8212.12015,78249,51,89.3764677,0.301737053,0.003557857
72,78250,55375,4432,8119.446734,78250,36,65.95218467,0.313230622,0.002336111
73,78251,59980,5267,8899.364693,78251,47,79.41335496,0.286268629,0.003494954
74,78252,14611,1707,10155.27396,78252,18,107.0854899,0.545708595,0.007323314
75,78253,55635,4416,7781.909176,78253,45,79.29934622,0.373568112,0.008029282
76,78254,69088,5563,7701.892592,78254,53,73.37772917,0.632954165,0.006049785
77,78255,18495,1070,5794.11924,78255,10,54.1506471,0.5193122,0.003927291
78,78256,12856,1052,7855.436081,78256,16,119.474313,0.233368174,0.002019188
79,78257,9807,1000,9625.565502,78257,16,154.009048,0.632339516,0.01387363
80,78258,49810,3714,7524.311183,78258,33,66.85575365,0.403847744,0.004083756
81,78259,28293,1933,6628.261839,78259,12,41.14803004,0.30299657,0.004198247
82,78260,36255,2654,7180.735931,78260,17,45.995671,0.407155779,0.005817656
83,78261,23828,1836,7514.427209,78261,13,53.2067286,0.474301719,0.00674324
84,78263,5228,428,8302.618817,78263,1,19.3986421,0.680811731,0.010404844
85,78264,13113,1439,10995.64453,78264,13,99.33521816,0.726860356,0.016810645
86,78266,1362,64,4604.316547,78266,0,0,0.454406296,0.002098112
